番号,単語,意味
282,apparent,［叙述用法］明白な、［限定用法］見たところ～らしい
283,apparently,一見したところ～のようだ
284,appeal,訴える、求める、興味を引く、魅力、人気、訴え、要請
285,appear,～のように見える、現れる
286,appearance,外見、様子、出現
287,appetite,食欲、欲求
288,applaud,～に大きな拍手を送る
289,applause,拍手（喝采）
290,appliance,器具、電気製品
291,applicable,適用できる、応用できる、ふさわしい
292,applicant,応募者、志願者
293,application,申請書、申し込み、適用
294,apply,適用する、応用する、 申し込む(for～)、塗る、当てはまる
295,appoint,（役職に）を任命する、（時・場所など）を指定する
296,appointment,任命、約束、職、任務
297,appreciate,正しく理解する、正しく評価する、感謝する、鑑賞する
298,appreciative,感謝している
299,apprehension,不安、理解力、逮捕
300,apprentice,見習い(工)、初心者
301,approach,近づく、取り組む、取り組み(方)、接近（方法）
302,appropriate,適切な、ふさわしい
303,approve,賛成する、承認する
304,approximate,おおよその、近似の
305,approximately,おおよそ
306,apt,～しがちである、～する傾向がある、ふさわしい
307,aquatic,(動植物が)水生の、水の
308,arbitrary,任意の、勝手な、恣意的な、気まぐれな
309,arc,弧、弓形
310,archaeologist,考古学者
311,archaeology,考古学
312,archaic,古風な、古代の
313,archbishop,大司教
314,architect,建築家、設計者
315,architecture,建築(学)、建築技術
316,archive,公文書（保管所）、保存記録
317,Arctic,北極の
318,ardent,激しい、熱心な
319,area,部分、地域、分野
320,argue,と主張する、議論する
321,argument,議論、口論
322,arise,起きる、(～から)生じる(from～)
323,aristocracy,貴族政治、（the～)、貴族階級
324,aristocrat,貴族
325,aristocratic,貴族的な、貴族の、貴族政治の
326,arithmetic,算数の、算数
327,arms,武器、軍備
328,army,軍隊、陸軍
329,aroma,芳香、アロマ
330,arousal,興奮、目覚め
331,arouse,引き起こす、刺激する、目覚めさせる
332,arrange,手はずを整える、きちんと並べる、取り決める
333,arrangement,手配、配置、取り決め
334,array,多彩
335,arrest,逮捕する、止める、逮捕
336,arrival,到着
337,arrogance,傲慢さ、横柄さ
338,arrogant,ごう慢な、横柄な
339,arsenal,兵器庫
340,arsenic,ヒ素
341,art,芸術、美術、技術、こつ、(～s)人文科学
342,artery,動脈
343,arthritis,関節炎
344,article,記事、論文、品物、物、条件、冠詞
345,articulate,はっきり述べる、明瞭な
346,artifact,工芸品
347,artificial,人工の、不自然な
348,artistic,芸術的な
349,artistry,芸術的才能
350,arugula,ルッコラ
351,ascend,上がる、上げる
352,ascent,登ること、上昇
353,ascertain,確認する、確かめる
354,ascribe,～を（…の）せいにする、～を（…の）作品とする
355,ascription,原因があるとすること、理由付け
356,ash,灰
357,ashamed,恥ずかしがって、恥じている
358,aside,わきに、離して
359,asleep,眠って
360,aspect,（物事の）側面、観点、様相
361,aspiration,熱望
362,aspire,切望する、熱望する、求める
363,assassination,暗殺
364,assault,襲撃(する)、暴行(する)
365,assemble,集まる、集める、組み立てる
366,assent,同意する、同意、承諾
367,assert,断言する、主張する、行使する
368,assess,評価（判断）する、査定する
369,asset,有用なもの、貴重な存在、資産、財産
370,assiduous,勤勉な、熱心な
371,assign,割り当てる、配属する
372,assignment,任務、課題、割り当て
373,assimilate,同化する、吸収する、自分のものにする
374,assist,援助する、手伝う
375,assistance,援助、支援
376,assistant,助手
377,associate,結び付ける、連想する、交際する、仲間
378,assorted,詰め合わせの
379,assume,想定する、思い込む、（責任・任務）を引き受ける
380,assumption,(確証のない)仮定、想定、思い込み
381,assure,保証する、安心させる
382,asteroid,小惑星、ヒトデ
383,astonish,ひどく驚かせる
384,astonishing,驚くべき、びっくりするような
385,astound,びっくり仰天させる、愕然とさせる
386,astrology,占星術
387,astronaut,宇宙飛行士
388,astronomer,天文学者
389,astronomy,天文学
390,asylum,亡命
391,asymmetry,非対称，不釣り合い
392,athlete,運動選手、競技者、スポーツ選手
393,athletic,運動の得意な、スポーツの
394,athletics,スポーツ、運動競技
395,Atlantic,大西洋の
396,atlas,地図帳
397,atmosphere,大気、雰囲気
398,atom,原子
399,atrocity,残虐行為
400,attach,くっつける、取り付ける、愛着を持たせる
401,attachment,付着(物)、取り付け、愛着
402,attack,攻撃、非難、（病気などの）発作、を攻撃する、を非難する
403,attain,獲得する、達成する、に達する
404,attempt,試み、攻撃、を試みる、…しようとする
405,attend,出席する、注意して聞く(to～)、付き添う(on～)
406,attendance,出席[入場]者数、出席
407,attendant,付添人、世話人
408,attention,注目、注意、世話
409,attentive,注意深い
410,attitude,態度、考え方
411,attorney,弁護士、検事、（法定）代理人
412,attract,引きつける、魅了する
413,attraction,魅力、呼び物
414,attractive,魅力的な
415,attribute,～のせいにする、～のおかげと考える
416,auction,競売、オークション
417,audacious,大胆な、厚かましい
418,audible,聞こえる
419,audience,聴衆、観客、視聴者
420,auditor,監査役
421,auditorium,講堂、公会堂、観客席
422,authentic,本物の、確実な、信用できる
423,author,著者、作者
424,authority,関係当局、権威、権限
425,authorize,権限を与える
426,autobiography,自叙伝
427,autograph,（有名人などの）サイン
428,automatic,自動の、無意識な
429,automobile,自動車
430,autonomous,自動運転
431,autonomy,（個人の）自律、自治（権）、自治体
432,autopsy,検死
433,avail,利用する、活用する、役立つ
434,availability,(入手の)可能性、有用[有効]性
435,available,利用できる、入手できる、手の空いている
436,avenue,大通り、道、手段、方法
437,average,平均、平均的な
438,avert,避ける、防ぐ、（目・注目・顔を）そらす
439,aviation,航空
440,avoid,避ける
441,await,待つ、待ち受ける、待つ
442,awaiting,待つ
443,awake,目覚めて、気づいて、目が覚める、を起こす
444,awaken,目覚めさせる、覚める
445,award,賞（金）、（審査して）を授与する
446,aware,気づいている
447,awareness,認識、意識
448,awe,畏れ、畏敬の念、（be awed）畏敬の念を抱く
449,awesome,すごい、畏敬の念を起こさせる、荘厳な、恐ろしいほどの
450,awful,(光景などが）恐ろしい、ひどい
451,awkward,不器用な、落ち着かない、やっかいな、ぎこちない
452,axiom,原理、自明の理
453,axis,軸
454,bachelor,独身の男性、学士
455,backfire,[自] 裏目に出る
456,background,背景、生い立ち、経歴
457,backlog,未処理の山
458,bacteria,細菌、バクテリア
459,bacterium,バクテリア
460,badly,まずく、とても（欲しい）、ひどく
461,baggage,手荷物、旅行荷物、（集合的に）（旅行時の）荷物
462,bait,誘惑物、(釣り針・わなにつける)餌
463,balance,均衡、バランス、（体の）平衡、残高
464,bald,はげた、葉のない、味けのない、ありのままの
465,ballot,投票、投票用紙、投票総数
466,bamboo,竹
467,ban,禁止する、禁止（令）
468,bang,ドンとたたく、バタンと閉まる、ドカンという音
469,banish,追い出す、追放する
470,bank,銀行、土手
471,bankrupt,破産した、を破産させる
472,bankruptcy,破産
473,bar,棒、障害物、軽食堂、法廷、弁護士業、妨げる、除外する
474,bare,裸の、むき出しの、ありのままの、ぎりぎりの、最低限の
475,barely,かろうじて
476,bargain,買い得品、取引、契約
477,bark,吠える
478,barn,納屋、物置
479,barrel,バレル（液量の単位）、たる
480,barren,～の欠けた、（土地が）やせた、不毛の
481,barricade,バリケード
482,barrier,障壁、防壁
483,base,～の基礎［根拠］を置く
484,basement,地階、地下室
485,bashful,内気な
486,basic,基礎の、基礎知識
487,basin,流域、盆地、海盆、洗面器［台］
488,basis,基礎、根拠、方式、やり方
489,basket,かご、バスケット
490,bat,コウモリ、バット、バットで打つ
491,batch,一回分
492,bathe,入浴する（させる）
493,batter,を叩き壊す、乱打する
494,battery,電池
495,battle,戦う、戦闘
496,bay,入江、湾
497,bear,耐える、運ぶ、生む、身につける、持っている
498,bearable,耐えられる
499,beard,あごひげ
500,bearing,方向、関連、関係、(自分の)位置、物腰、態度
501,beast,獣、動物
502,beat,たたく、打ち負かすたたくこと、鼓動
503,beauty,美人、美しさ
504,beckon,手招きする、合図する
505,bee,（総称）ハチ、ミツバチ
506,beforehand,前もって、事前に
507,beg,切に頼む、懇願する
508,beggar,物乞い
509,behalf,利益、支持；（on behalf of） ～を代表して、～のため
510,behave,振る舞う、行儀よくする
511,behavior,行動、態度
512,behavioral,行動の
513,behind,後ろに、～よりも劣って
514,belief,信念、確信、信じること、信頼
515,belong,～に属する、～の所有である
516,benchmark,基準
517,bend,曲がる、かがむ、屈服する、を曲げる
518,beneath,～の下に
519,beneficial,有益な、有利な
520,benefit,恩恵、利益、利益を得る、に利益を与える
521,benevolent,親切な、善意の、寛大な、慈善の
522,benign,良性の、害のない； 有益な
523,besides,さらに、に加え、（否定文・疑問文で）以外に
524,bestow,授ける、与える
525,bet,賭け、考え、賭ける、予期する
526,betray,裏切る、（秘密など）をもらす、表情（表）に出す
527,beverage,飲み物、飲料
528,bewilder,うろたえさせる、当惑〔動転〕させる
529,beyond,～の向こうに、～できる範囲をこえて
530,bias,偏見、～に偏見を持たせる、～に偏見をもたらす
531,biased,偏った、偏見を持った
532,bible,聖書、必読書
533,bid,値をつける、（挨拶）を述べる
534,bilateral,相互の、二者［二国］間の
535,bilingual,２カ国語を話す（人）
536,bill,請求書、【英】勘定書、法案
537,billion,10億
538,bind,縛る、束縛する、結び付ける
539,binding,拘束力のある、義務を負わせる
540,biodiesel,バイオディーゼル
541,biodiversity,生物多様性
542,biographical,伝記の
543,biography,伝記、伝記文字
544,biological,生物学（上）の
545,biologist,生物学者
546,biology,生物学
547,birth,誕生
548,birthrate,出生率
549,bishop,司教
550,bit,（a～）少し
551,bite,かむ、かみつく、刺す
552,bitter,苦い、つらい、辛辣な、怒りっぽい
553,blade,刃、（プロペラなどの）羽根、（草などの）葉
554,blame,非難する、責任を負わせる
555,blank,空白の、無表情な、がらんとした
556,blast,爆破する、破滅させる
557,blaze,輝く、燃え立つ、炎、きらめき、（感情などの）激発
558,bleak,暗い
559,bleed,出血する
560,blend,混ぜる、調和させる、（～に）溶け込む
561,bless,祝福する、恵みを与える
562,blessing,恵み、ありがたいもの、承認、支持、神の加護
563,blindness,盲目、無知、無分別
564,blink,まばたく、まばたきをする、まばたき
565,bliss,この上ない喜び、至福、（bliss out）いい気分になる
566,blissful,至福の
567,blister,水ぶくれ
568,block,障害物、かたまり、区画、ふさぐ、妨害する
569,blockade,(港などの)封鎖、経済[通信]封鎖
570,bloom,栄える、咲く、花、開花的、最盛期
571,blossom,花が咲く、繁栄する、開花する、花、開花
572,blow,息を吐く、（風が）吹く、を吹く、打撃
573,blueprint,設計図
574,blunt,鈍い
575,blur,ぼかす、汚す、ぼやける、汚れる、ぼやけ、汚れ
576,blurry,ぼやけた、不鮮明な
577,blush,顔を赤らめる、恥ずかしく思う、赤面すること
578,board,板、委員会、に搭乗する
579,boast,自慢する、誇る、自慢（の種）、誇り
580,bob,上下に動く、急に動く、を上下に動かす
581,bodily,身体〔肉体〕上の、肉体的な
582,boil,煮る、沸騰する、煮える、沸騰する
583,bold,大胆な、怖いもの知らず、ずうずうしい
584,bomb,爆弾、大失敗
585,bombard,を責め立てる、を砲撃（爆撃）する
586,bomber,爆撃機
587,bond,きずなをくっつける
588,boom,大流行、にわか景気
589,boost,促進する、高める
590,border,境界（線）、国境、縁、～に接する、～に縁を付ける
591,bore,退屈させる、退屈な人（もの）
592,borrow,借りる、取り入れる
593,boss,社長、雇用主、上司
594,botanical,植物の、植物学(上)の
595,botanist,植物学者
596,botany,植物学
597,bother,悩ます、困らせる、邪魔する、思い悩む、面倒、悩みの種
598,bottom,底、最下部
599,bounce,跳ねる、反射する、を弾ませる、（メールが）返送される
600,bound,跳ぶように走る、はずむ、限界、束縛された、～行きの
601,boundary,境界(線)、限界
602,boundless,無限の
603,bout,短い期間、（病気などの）発症
604,bow,おじぎする、おじぎ
605,brace,支柱(で支える)、留め金、補強する
606,brag,自慢する
607,brain,脳、頭脳、知識人、知能、知的顧問
608,brainstorming,ブレインストーミング（自由にアイデアを出し合う問題解決法）
609,brainwashing,洗脳
610,branch,枝、支店、部門
611,brand,ブランド、銘柄
612,brand-new,新品の，真新しい
613,brave,勇敢な、見事な
614,breach,違反する
615,breadth,幅、広さ、範囲
616,breakdown,崩壊、破綻、悪化、分解、分析
617,breakout,発生、脱走、逃亡
618,breakthrough,大発見、突破口
619,breakup,(人間関係の)解消、別れ
620,breast,（主に女性の）胸，乳房
621,breathe,呼吸する
622,breed,産む、育てる、品種
623,breeze,そよ風
624,bribe,わいろ
625,brick,れんが
626,bride,花嫁
627,brief,短時間の、簡潔な、簡単な要点を伝える、要約
628,briefly,少しの間に、簡潔に
629,bright,明るい、輝いている、頭が良い
630,brightness,輝き、明るさ
631,brilliant,すばらしい、才能にあふれた、きらめく
632,brisk,元気な、活発な
633,British,イギリス人、イギリス（人）の
634,broad,広範囲に及ぶ、（幅・面積の）広い
635,broadcast,放送する、言いふらす、放送された、放送
636,broaden,～を広げる、広がる
637,brochure,パンフレット、小冊子
638,bronze,青銅、青銅（色）の
639,browse,拾い読みする、閲覧する
640,bruise,あざ、打撲傷、～に打撲を負わせる
641,brush,ブラシ、ブラシをかける
642,brutal,野蛮な、残酷な、残忍な、理性のない
643,brute,獣、動物
644,Buddhism,仏教
645,budget,予算、経費、予算案、（時間、金額）をわりあてる
646,bug,虫、（機械・プログラムの）欠陥
647,buildup,増加
648,bulb,電球、球根
649,bulk,大半、大きさ、大量
650,bulky,かさばった、扱いにくいほど大きい
651,bullet,弾丸
652,bully,いじめる、いじめっ子
653,bullying,いじめ
654,bump,（ドンと）ぶつかる、ばったり会う
655,bunch,束、集団、群れ
656,bundle,包み、を束ねる、を包みにする
657,burden,負担、（重い）義務、積み荷
658,bureau,（官庁の）局、事務局、案内所
659,bureaucracy,官僚、官僚主義
660,bureaucrat,官僚
661,burglar,泥棒、強盗
662,burglary,強盗
663,burial,埋葬
664,burn,焼く（焼ける）、燃やす（燃える）
665,burrow,墓穴
666,burst,爆発する、破裂させる、突然始まる、爆発
667,bury,埋める、埋葬する、隠す
668,bush,低木、茂み
669,business,事柄、こと、商売、事業、仕事、業務
670,bustle,喧噪
671,buzz,(場所が)ざわつく、どよめく
672,bypass,バイパス
673,bystander,傍観者
674,cabinet,内閣、飾り戸棚、キャビネット
675,cactus,サボテン
676,cafeteria,社員食堂、学食
677,cage,(鳥・獣を入れる)かご、檻
678,calamity,大災害、不幸
679,calculate,計算する、予想する、判断［推定］する
680,calling,転職、職業
681,calm,落ち着いた、平静、静まる、を静める
682,calorie,カロリー
683,camel,ラクダ、黄褐色
684,campaign,選挙活動、政治活動、軍事行動、促進販売
685,campus,構内、キャンパス
686,canal,運河
687,cancel,～を取り消す、中止する
688,cancer,癌、（社会などの）害悪
689,candid,率直な
690,candidate,候補（者）、志願者
691,candlepower,燭光<光度の単位>
692,canine,イヌ科の、イヌの
693,canyon,峡谷
694,capability,能力、処理能力、将来性
695,capable,能力がある、有能な
696,capacity,（最大）容量、収容能力、（潜在）能力
697,capita,頭
698,capital,資本(金)、首都、大文字、資本の、主要な、大文字の
699,caption,説明文、キャプション、字幕
700,captive,捕らわれの、監禁された
701,capture,(人・動物)を捕らえる、引きつける、逮捕
702,carbon,炭素
703,cardboard,段ボール、厚紙、ボール紙
704,cardiologist,心臓専門医
705,cardiovascular,心臓血管の
706,care,いやと思う、気にかける、
707,career,経歴、職業、生涯、成功、出世
708,carefully,注意深く
709,cargo,貨物
710,carnivore,肉食動物〈可算〉
711,carriage,馬車、うば車<米>、（鉄壁道の）客車<英>
712,cart,カート、手押し車、荷車、運ぶ
713,cartoon,漫画、アニメ
714,carve,彫る、切り開く、切り分ける
715,carving,彫刻（作品）
716,case,症例、実例、場合、事件、主張、論拠、(the)事実
717,cash,現金
718,cashier,レジ係、会計係
719,cast,投げ(かけ)る、役を割り当てる、配役
720,castle,城
721,casual,何気ない、無頓着な、偶然の、瞬時の
722,casualty,死傷者、人的損害、災難、大事故
723,catacomb,地下埋葬場
724,catastrophe,惨事、大惨事、大災害、破局
725,category,部類、区分、範疇
726,cater,食事を出す、必要な物を提供する、欲求を満たす
727,caterpillar,いも虫、毛虫
728,Catholic,カトリックの、カトリック教徒
729,cattle,ウシ
730,causal,原因となる、因果関係の
731,causally,原因となって
732,cause,原因、理由、大義
733,caution,用心、警告
734,cautious,注意深い、用心している
735,cave,洞窟
736,cavity,穴、空洞、腔、虫歯
737,cease,やめる、やむ、終わる
738,ceaseless,絶え間ない
739,ceiling,天井、（金額などの）上限
740,celebrate,祝う、褒め称える、賛美する
741,celebration,祝賀（会）、称賛
742,celebrity,有名人
743,celestial,天体の
744,cell,細胞、個室、(刑務所の)独房、電池
745,cemetery,（共同）墓地
746,censor,検閲する
747,censorship,検閲
748,census,国勢［市勢］調査、（主に人口の）一斉調査
749,cent,（単位としての）100、セント（1/100ドル）
750,center,中心、中央、（施設としての）センター
751,centralize,（権力など）を集中させる
752,century,世紀
753,CEO,最高経営責任者
754,cereal,〔通例～s〕穀物、シリアル（穀物加工食品）
755,ceremony,（儀）式、礼儀
756,certain,ある特定の、確信している
757,certainty,確実性、確信
758,certificate,証明書、に証明書を与える
759,certify,証明する
760,chain,連鎖、鎖、束縛、チェーン（店）
761,challenge,挑戦、難問、挑戦する、異議を唱える
762,chamber,部屋、議場、議院
763,chance,機会、偶然、見込み、たまたま～する（to do）
764,change,変える、変わる、変化、釣り銭、小銭
765,channel,経路、チャンネル、海峡
766,chaos,混乱、騒動、無秩序
767,chaotic,混沌とした
768,chapel,礼拝堂
769,chapter,(書類などの)章、支部、分会
770,character,性格、個性、特徴、登場人物、人格、文字
771,characteristic,特徴
772,charge,請求する、非難する、告発する、料金、告発、責任
773,charitable,慈善の、慈悲深い
774,charity,慈善(行為)、思いやり、慈善団体[基金]、慈善事業
775,charm,魅力、魔力、魔よけ、魔法をかける、魅惑する
776,chart,図、グラフ、海図、ヒットチャート
777,chase,追跡する、追求する
778,chat,おしゃべり、おしゃべりする
779,chatter,くだらないおしゃべり
780,cheap,安い、安っぽい
781,cheat,だます、不正をする、不正行為、カンニング
