番号,英単語,意味
145,encounter,～に偶然出くわす；～に直面する
146,declare,～を宣言する、～と言明する、～と断言する
147,negotiate,交渉する、話し合う
148,grasp,～をつかむ；～を理解する
149,measure,～を測る、～を見積もる、～を示す；寸法：測定；（～s）手段、対策
150,discard,～を捨てる
151,abandon,～を放棄する；～をあきらめる；～を捨てる；～を見捨てる
152,enhance,（価値など）を高める
153,diminish,～を減少させる、～を小さくする
154,prolong,（時間・期間など）を延長する
155,overhear,～をふと耳にする
156,overlook,～を見落とす；～を大目に見る；～を見下ろす
157,pursue,～を追跡する；～を追求する；（仕事など）に従事する
158,warrant,～を保証する；（事）からすると～は当然のことである
159,compensate,～に（～を）補償する；～に埋め合わせをする；（～に）償う
160,paralyze,～を麻痺させる
161,groan,（絶望などで）うめく
162,witch,魔女
163,experience,経験、体験
164,sweat,汗；骨折りの仕事
165,summary,要約、大意
166,talent,才能、素質；才能のある人
167,storm,嵐、荒天
168,principle,原理、原則；本質、根元；（～s）基礎
169,principal,主要な、第一位の
170,purpose,目的；意図
171,psychology,心理学；心理（状態）；心理作戦
172,museum,博物館；美術館
173,notion,概念、考え、意見；気まぐれな考え
174,vary,変わる、変化する、異なる
175,doctrine,（宗教上の）教義；（政策上の）主義
176,district,地区、地方、地域
177,court,裁判所、宮廷、庭、（テニスなどの）コート
178,burden,重荷；荷物；負担；苦労
179,tribe,部族、種族
180,tragedy,悲劇、悲劇的な出来事
181,tension,緊張、不安、緊迫状態；張りの度合い
182,experiment,実験、試験
183,hostage,人質
184,friction,摩擦；あつれき、不和
185,fraction,断片；一部；分散
186,aristocracy,貴族政治；（the～) 貴族階級
187,agony,苦悩、苦しみ
188,agitator,扇動家
189,foe,敵
190,outbreak,（悪いことの）突発、発生；暴動、反乱
191,perseverance,忍耐、根気強さ
192,kidnap,～を誘拐する
193,tyranny,暴政、圧政；過酷
194,crisis,危機
195,compare,～を比較する；～をたとえる
196,enemy,敵
197,degree,学位；（温度・角度などの）度；程度、段階
198,junior,（～より）下級［年下・年少］の
199,senior,年上の；（役職、地位などが）上の
200,research,研究、調査
201,reason,理由、根拠；理性、思考力；道理
202,concern,関心事；関係；心配；懸念；（関係のある［心配すべき］）事柄
203,average,平均
204,absolute,完全な；全くの；絶対的な、絶対の
205,depart,出発する；はずれる
206,divorce,～と離婚する；～を（...から）分離する
207,vacant,（部屋・座席などが）空いている；からの；うつろな
208,endanger,～を危険にさらす
209,perish,死ぬ；消滅する；悪くなる
210,instinct,本能、天性
211,impulse,衝動；衝撃
212,compete,競争する；匹敵する
213,competent,能力のある、有能な
214,intimate,親密な、とても私的な、内心の
215,jealous,嫉妬深い；妬んで
216,terminate,～を終わらせる
217,shatter,粉々になる
218,peril,危険
219,intricate,入り組んだ、複雑な、はっきりしない
220,crush,～を押しつぶす
221,crash,衝突、墜落；すさまじい音；株価などの暴落
222,intervene,干渉する、仲裁する；（２つの時期などの間に）介在する
223,split,～を割る、～を裂く；～を分配する
224,infectious,伝染性の
225,devastating,壊滅的な被害をもたらす、壊滅的な
226,intuition,直観
227,harvest,収穫（物）、収穫量（高）
228,heir,相続人
229,numerous,多数の、多くの
230,fortune,運；幸運；繁栄；財産、富
231,gain,～を得る、～を増やす
232,resource,（～ｓ）資源、財源、貯蔵、手段；臨機応変の才、機転
233,search,～を捜す；～を所持品検査する
234,lesson,教訓；授業；（教科書の）課
235,fate,運命
236,discipline,訓練、修行、しつけ、規律；学科、学問領域
237,temple,寺院、神殿
238,learned,学問のある；博学な
239,genius,天才、非凡な才能
240,insight,洞察（力）
241,generate,～を生み出す；～を発生させる
242,fund,資金、基金
243,millionaire,百万長者、大富豪
244,multiply,～をどんどん増やす；～に（数）を掛ける
245,lessen,～を少なくする
246,endeavor,努力、試み
247,destiny,運命、宿命
248,religion,宗教、信仰；信条、主義
249,coherent,一貫した；筋の通った
250,cite,～を引用する
251,quote,～を引用する
252,thesis,主題、論題；命題；（学位）論文
253,verify,～が正しいことを証明する；～を確かめる
254,withhold,～を保留する；（感情など）をおさえる
255,hypothesis,仮説、前提
256,analogy,類推；類似
257,premier,首相
258,embassy,大使館
259,ambassador,大使
260,encourage,～を勇気づける、～を励ます、～を促進する
261,disappoint,～を失望させる、～をがっかりさせる
262,prefer,～を好む；～が好きだ
263,hate,～を憎む、～を嫌う、～が大嫌い
264,hatred,憎しみ、嫌悪
265,praise,～をほめる、～を賞賛する
266,demand,～を要求する；～を尋ねる
267,supply,～を供給する、～に与える；～を補充する
268,income,収入、所得
269,impose,（義務など）を課す、（意見など）を押しつける
270,tax,税金、重い負担
271,naked,裸の；むきだしの；ありのままの
272,muscle,筋肉；筋力、腕力、体力
273,obstacle,障害（物）、支障
274,interfere,干渉する、妨げる、邪魔［妨害］をする
275,efficient,効率的な、有能な、効率的に仕事をこなす
276,effect,影響、効果；結果；（結果を）もたらす
277,reputation,評判、名声、信望
278,widespread,広範囲に及ぶ
279,sole,唯一の；単独の
280,soul,魂、精神；人；情熱；本質的なもの
281,exclaim,叫ぶ
282,minister,大臣；牧師、聖職者
283,pray,祈る；～に懇願する
284,retreat,退却；休養の場所；退却する；引退する
285,sequence,連続（するもの）; 結果
286,meditate,深く考える；熟慮する；瞑想する
287,flatter,～にお世辞を言う、～にへつらう；～をうれしがらせる、～をおだてる
288,compliment,ほめ言葉；賛辞
289,supplement,補足、付録
290,traitor,反逆者、裏切り者
291,sneer,冷笑する
292,fanatical,狂信的な、熱狂的な
293,lose,～を失う；（試合など）に負ける；（体重など）を減らす
294,progress,前進、発展；経過
295,object,物、物体；対象；目的、目標；目的語
296,source,源；出所、原因
297,liquid,液体；流動体
298,spring,泉；春；バネ
299,perspective,観点、展望；遠近法
300,proceed,進む、前進する；続ける；向かう；手続きする、処分する
301,series,連続、続き
302,origin,起源、由来、発端；生まれ、血統
303,leave,～を置き忘れる；～を(...の状態)にしておく；～を任せる；～を置き去る；～を残す；～を出発する；出発する、退学する；休暇；許可
304,phase,（発達、変化の）段階、時期；（問題などの）面、側面；局面
305,melt,溶ける、やわらぐ、いなくなる、なくなる
306,extinct,（動物のある種族などが）絶滅した、消えた
307,descend,下る；伝わる、遺伝する
308,stretch,～を伸ばす；（手など）を差しのばす；～を誇張・曲解する
309,sink,沈む；衰える
310,shrink,縮む、減少する；しりごみする
311,shift,～を変える、～を移す
312,reform,～を改革する、～を刷新する
313,refine,～を精製する；（技術など）を磨く、～を洗練されたものにする
314,prevail,普及している；勝る、支配する；うまくいく
315,substance,物質、薬物；本質、中身；要旨、骨子
316,stuff,材料；（漠然と）物、こと；要素
317,symptom,徴候、兆し；症状
318,surplus,余剰、過剰；黒字、利益
319,surpass,～をしのぐ；～を越える
320,recede,後退する、手を引く
321,launch,（船）を進水させる；～を打ち上げる；～を開始する
322,ascribe,～を（...の）せいにする；～を（...の）作品とする
323,gauge,計器；標準寸法、規格
324,incentive,刺激、動機；報償（金）
325,rot,腐敗する
326,do,～に～をもたらす、役に立つ；～をする
327,announce,～を公表する；～と知らせる
328,operation,運転、操作；実施；作業、活動、生産過程；手術；軍事行動
329,behave,振る舞う；行儀よくする
330,attempt,～を試みる
331,guess,～と推測する、～を推測する、～を言い当てる
332,raise,（料金・程度など）を高くする、（体の一部）を上げる；～を育てる
333,raw,生の、加工していない；未熟な
334,want,（必要なものの）欠乏；貧困；必要
335,reduce,～を減少させる；～を弱める；～を変える
336,short,短い、不足して；背が低い；簡潔な
337,quit,～をやめる
338,swift,迅速な；即座の
339,cease,やむ、とまる
340,strike,～を打つ；（考えなどが人の心）に浮かぶ；（事が人）に印象を与える
341,chase,～を追跡する
342,arouse,～を刺激する；～を目覚めさせる；～をかきたてる
343,utilize,～を利用する；～を役立たせる
344,conduct,（道徳上の）行い；指導；行為；管理
345,pause,休止；句切り；ちゅうちょ
346,ascend,登る
347,nod,うなずく、会釈する；（うなずいて）同意を表す；いねむりする
348,accumulate,～を蓄積する、ためる
349,heap,（雑然と積まれた）山、かたまり
350,rust,さび
351,soar,舞い上がる；急上昇する
352,cultivate,～を耕作する；～を栽培［養殖］する；（才能など）をみがく；～を開墾する；（親交など）を築く；（精神・才能など）を養う
353,swell,ふくらむ、腫れる；（数量が）増加する
354,degrade,～の品位を下げる、～を降格する
355,soothe,～をなだめる；（痛みなど）を和らげる
356,accelerate,～を加速する；～を促進する
357,deteriorate,悪化する
358,nurture,～を養育する；～を育てる；～を教育する
359,renewable,更新［回復、再開］できる
360,handle,～を扱う；～を処理する；～を論じる；～に手を触れる
361,derive,～を引き出す
362,active,積極的な、能動的な；活動している、有効な
363,reach,～に着く、～に届く；～と連絡を取る
364,still,じっとしている、静かな
365,force,～に（～することを）強制する；～を強いる
366,run,競走に出る、立候補する；流れる；（～に）なる；走る；動く、作動する
367,enforce,（法律など）を施行する、～を強制する
368,bear,～を生む；～に耐える；～を持っている；～を身につける；～を運ぶ；～を支える
369,turn,回る；曲がる；向かう；（～に）なる；振り返る；変質する
370,action,行動、おこない、アクション
371,wipe,～をふく、～をぬぐう
372,withdraw,～を引っ込める、～を撤回する；（現金など）を引き出す
373,dare,あえて（～）する、～に立ち向かう、思い切って～する
374,extract,～を抜き出す、～を抜粋する
375,skip,はね回る；スキップする；拾い読みする
376,insert,挿入物、差込ページ、折り込み広告
377,deed,行為、行い
378,rear,後部、後ろ
379,interval,（時間の）間隔、周期；休止期間；（空間の）隔たり
380,lower,～を低くする；～をおろす
381,pose,ポーズをとる；ふりをする
382,creep,はう；忍び寄る
383,wither,（植物などが）しおれる；弱まる、衰える
384,leap,跳ぶ；(心が）おどる；（考えが）ひらめく
385,deficient,欠如した、不十分な、不足している
386,reinforce,～を補強する、～を強化する
387,exert,～を行使する［使う］、～を働かせる
388,scratch,～をひっかく；～を（...から）はがし取る；～を線を引いて消す
389,disguise,～を変装させる；～を隠す
390,cast,～を投げる；～に役を割りふる；～を投げかける
391,withstand,～によく耐える；～に持ちこたえる
392,undo,～をほどく ；～を元通りにする、～を取り消す
393,happen,起こる
394,aid,助け；補助器具
395,unite,～を結合する；～を団結させる、～をまとめる
396,assist,～を助ける、～を手伝う
397,arrange,～の手はずを整える；～をきちんとならべる；～を取り決める
398,arise,生じる、起こる
399,approach,～に近づく、～に接近する
400,polish,～を磨く；～を洗練する
401,occur,起こる；（考えなどが心に）浮かぶ
402,exercise,運動、練習、訓練；行使；（～s）式、儀式
403,beat,～を打つ；～を打ち負かす
404,bow,お辞儀をする
405,omit,～を除外する、～を省略する；～を（うっかり）忘れる
406,surface,表面、外観；水面；うわべ
407,site,場所、用地；遺跡
408,detach,～を切り離す、～を取り外す
409,conceal,～を隠す；～を秘密にする
410,inhabit,～に住む、～に生息している
411,possess,～を持っている；（魔物・考えなどが）～にとりつく
412,portion,一部；分け前；一人前
413,upright,まっすぐな、直立した；正しい
414,track,～の（足）跡を追う
415,trace,跡、形跡；ほんのわずかの、微量の；線、見取り図
416,sweep,～を掃く；～を押し流す；～をさっと通過する
417,commit,（罪など）を犯す；～を委託する；～を（～に）ゆだねる
418,overtake,～に追いつく、～と同じになる；～を上回る；～を不意に襲う
419,convert,～を変える；～を改宗させる
420,barren,（土地が）不毛の；内容のない；不妊の
421,rotate,回転する
422,haunt,（考えなどが）～につきまとう；（幽霊が）～に出没する；へしばしば行く
423,glue,～を（糊や接着剤で）接着する
424,bottom,底；下部；ふもと
425,part,部分、部品；役目、せりふ；分け前、分担；側、味方
426,occupy,～を占める、～を占拠する、～に（賃借で）住む
427,hide,～を隠す；～を秘密にする
428,place,～を置く；～を配置する
429,exist,存在する、ある
430,face,～に直面する、～に面する
431,focus,焦点、中心［対象］
432,store,～を蓄える
433,tie,ネクタイ(=necktie)；結び目；同点、引き分け；(～ｓ）つながり、関係
434,select,～を選び出す
435,seek,～を捜し求める；(～しようと）努める；～を求める
436,make,（～の）～になる；～を作る；～を（～の）状態にする；～に（～）させる
437,external,外部の
438,replace,～に取って代わる；～を取り替える；～を元の場所に戻す
439,mount,～を（～に）載せる［はめ込む］；（馬・自転車など）にまたがる［乗る］
440,exclude,～を排除［除外］する
441,lean,もたれる；よりかかる；傾く；頼る
442,row,（人や物の）列、並び
443,contrary,反対の；（～に）反する
444,consent,同意する
445,loyal,忠実な、誠実な、誠意のある
446,mutual,相互の；共通の
447,dominate,～を支配する
448,interact,相互に影響する、相互に意思を伝える、相互にやりとりする
449,solitary,孤独な；ひとりだけの；唯一の
450,counterpart,対応するもの；対の片方
451,cope,うまく処理する；うまく対処する
452,adhere,くっつく、粘着する；（意見、主義などに）固執する、背を向けない
453,static,静的な、元気のない
454,parallel,平行の；相当する、同様な；類似の
455,bilateral,相互の；二者［二国］間の
456,ally,同盟国；連合国
457,base,～の基礎［根拠］を置く
458,hold,～を入れている；～を開催する；～を抱く、持続する；～をとっておく
459,isolate,～を孤立させる、～を分離する、～を隔離する
460,divide,～を分割する、～を分離する、～を分ける、～を分類する
461,move,～を動かす；～を感動させる
462,point,要点；（位置、時間上の）点、瞬間；目的
463,ground,根拠、理由；土地、土壌、運動場、地面、地表
464,escape,逃げる
465,flight,（飛行機の）便、飛ぶこと、飛行；逃走、脱出
466,quarter,４分の１；15分；25セント；四半期；（４学期制の）学期；方角、場所
467,neighbor,近所の人、隣人、隣国（の人）；仲間
468,position,位置、場所；立場、形勢；地位、身分；姿勢；勤め口、職
469,besides,その上；さらに
470,remain,～のままである、～のままでいる；残る、とどまる
471,back,背中；後部
472,follow,～について行く；（忠告など）に従う、～を理解する
473,stick,～をくっつける；～を突き刺す
474,separate,～を引き離す；～に分ける
475,join,～に加わる；～をつなぐ；～に参加する
476,surround,～を取り囲む、～を取り巻く
477,enter,（場所）に入る、～を記入する；（活動など）に加わる
478,scatter,～をまき散らす；～を追い散らす
479,close,接近した；親密な；綿密な= careful
480,situation,位置；立場、状態；きわどい場面
481,spread,～を広げる；～を薄く塗る
482,lead,～を（～に）導く；（生活）を送る;～の先を行く；～を指揮する
483,direction,方向、指導
484,float,浮かぶ
485,narrow,（幅の）狭い；限られた；かろうじての
486,associate,～を連想する
487,react,反応する、作用する；反抗する
488,influence,影響、影響力
489,quarrel,口論；反目、不和
490,cover,～を含む；（ある距離）を行く；～を覆う；～を隠す；～（範囲）に及ぶ；～を扱う
491,resemble,～に似ている
492,affair,出来事；問題；仕事；（～s）事情
493,basis,基礎
494,support,～を支える；～を支持する;～を扶養する；～を裏付ける
495,room,（不可算扱い）空間、場所、可能性、余地、余裕；（可算扱い）部屋；（the～；集合的に）部屋にいる人々
496,delight,喜び、楽しみ
497,desire,要求、願望
498,satisfy,～を満足させる；（義務)を果たす；（基準など）に合致する；～にこたえる
499,fun,楽しいこと、愉快なこと［気分］、戯れ
500,indifferent,無関心な；どうでもよい；公平な
501,intend,～を意図する、～するつもりである
502,long,熱望する；思い焦がれる
503,mean,～を意味する；～を（～の）つもりで言う；～にとって重要性を持つ
504,mind,～を気にする；～を嫌がる；～の世話をする
505,familiar,よく知られている、なじみのある；精通している；ありふれた；親しい
506,shame,恥、恥ずかしさ；残念なこと
507,belong,所属する；（あるべきところに）ある
508,direct,～に道を教える、～を向ける、～に指図（指示）する
509,despise,～を軽蔑する、～をひどくきらう
510,boast,自慢する
511,stand,～を我慢する；～を立てる
512,complain,不平を言う
513,amaze,～をびっくりさせる、～を驚かす
514,ambitious,大望を抱いた；熱望している；野心的な
515,terrible,猛烈な、ひどい；恐ろしい；ひどく悪い
516,affect,～に影響を与える；～のふりをする；～を愛用する、～を好んで身につける；[通常受け身] ～の心を動かす
517,communicate,（意見・情報など）を伝える
518,cross,～を線を引いて消す；～を横切る；～と交差する
519,depend,頼る、依存する；左右される、（～によって）決まる
520,control,制御、抑制；支配、管理
521,companion,仲間；友達
522,avoid,～を避ける
523,attend,～に出席する、～に通う；～を世話する
524,argue,議論する；口論する、言い争う
525,appointment,任命；約束；職、任務
526,acquaintance,知人、知り合い；面識；知識；交際
527,accustomed,慣れる
528,accompany,～と一緒に行く；～に付随して生じる
529,free,無料の；自由な、ひまな；制約のない
530,serve,（目的・必要）にかなう；～に仕える；～に供給する；（食事など）を出す
531,treat,～を扱う；～を治療する；～におごる；～を（...と）みなす
532,submit,服従する
533,rely,（～に）頼る、（～を）あてにする
534,regard,～を（...と）みなす；～を評価する
535,disregard,～を無視する
536,meet,～を満たす；～にかなう；～と交差する；～と会う
537,introduce,～を紹介する；～を導入する
538,independent,独立した、関係がない、自立した
539,impact,衝撃、衝突；影響（力）
540,consensus,（意見の）一致；全体の意見の一致
541,cooperate,協力［協同］する
542,fascinate,～を魅惑する、～をうっとりさせる
543,involve,～を巻き込む、～を没頭させる、～が当然要求される、～を複雑にする、～を含む、～を意味する
544,cling,執着する；くっつく；しがみつく
545,remote,遠い；へんぴな；（時間が）遠く隔たった；かすかな
546,pierce,～を貫く、～を刺す；～の身にしみる、～を感動させる
547,equip,～に備え付ける、～に装備する；～に身につけさせる
548,enclose,～を囲う；～を同封する
549,vertical,垂直の；縦の
550,retain,～を保持する、～を維持する
551,debate,～を討論する、～を熟慮する
552,scream,金切り声を出す、叫ぶ、悲鳴をあげる
553,counsel,～に忠告する、（人）に～（するよう）勧める
554,sigh,ため息
555,review,再考；復習；論評、評判；報告、説明；回顧
556,entertain,～を楽しませる、～をもてなす；（申し出など）を考慮する、（疑念、考えなど）を心に抱く
557,whisper,～と小声で言う；～をこっそり言いふらす
558,survey,～を概観する、～を調査する、～を見渡す
559,narrate,～を（順序立てて）物語る、～を述べる
560,reply,返事をする；応じる
561,convey,～を運ぶ；（思想など）を伝える
562,inquire,～を尋ねる
563,interpret,～を解釈する、～を通訳する
564,consult,相談する；（対等関係で）協議する
565,excuse,～を許す；～の言い訳をする
566,comment,論評；解説；うわさ話
567,chat,おしゃべり
568,persuade,～を説得する；～を説得して...をさせる；～を...だと確信させる
569,bound,縛られた；きっと；確かに
570,neutral,中立の、中性の；はっきりしない、くすんだ
571,conform,従う、適合する、（基準を）満たす
572,combine,～を結合させる
573,discourage,～を落胆させる、～をがっかりさせる；～に思いとどまらせる
574,conceive,～を心に抱く；（～である）と考える
575,condemn,～を非難する；～に有罪判決を下す
576,reluctant,気が進まない；しぶしぶの
577,disgust,嫌悪
578,frustration,挫折；フラストレーション、欲求不満
579,sensation,大評判、物議；感覚
580,emotion,感情、感動
581,apathy,無感動、無関心；冷淡
582,antipathy,反感；嫌悪（感）
583,sympathy,同情、思いやり；共感、支援
584,participate,参加する；関わる；加わる
585,obey,～に従う、（規則など）を守る
586,relative,相対的な；比較上の；～に関連した、適切な；相互の
587,relate,～を関連づける；～を物語る
588,patriotic,愛国的な
589,share,～を共有する；～を分ける；～を（人に）話す
590,spare,～をなしですませる；～を取っておく；～を節約する；～をさく
591,tune,曲；調和、一致；気分、機嫌
592,alert,注意/警戒を怠らない；機敏な、敏捷（びんしょう）な
593,wonder,～かなと思う；～ということに驚く
594,endure,～に耐える、～を我慢する
595,relief,（苦痛などからの）解放；（苦痛などの後の）安堵；救援（物資）
596,passion,情熱、熱中、激情、愛情
597,impress,～に強い印象を与える；～を感動させる
598,tiresome,退屈な；骨の折れる、厄介な
599,tease,～をからかう、～をいじめる；～をじらす
600,tremble,震える；心配する
601,uneasy,不安な、落ち着かない
602,startle,～をびっくりさせる、～を飛び上がらせる
603,desperate,自暴自棄の、絶望的な；欲しくてたまらない、（～したくて）たまらない
604,sentiment,感傷；心情；意見
605,attitude,姿勢；態度；意見、考え方
606,confidence,信頼；自信、確信；秘密
607,smart,頭が良い；身なりがきちんとした
608,talkative,おしゃべりな、話好きな
609,vigorous,元気な；力強い、激しい
610,enthusiastic,熱狂的な、熱心な
611,liberal,自由主義の；気前のよい；寛大な
612,weep,すすり泣く、しくしく泣く；嘆く
613,upset,～の心を乱す；～の調子を狂わせる；～をひっくり返す；～をだめにする
614,despair,絶望
615,concentrate,～を集中する；～を（...に）集中させる
616,chart,図表；図
617,assimilate,～を同化する；～を吸収する；～を自分のものにする
618,assemble,～を集める；～を組み立てる
619,embrace,～を抱きしめる；～を含む；～に応じる
620,devoid,欠けた
621,reverse,逆の；裏の
622,pledge,～を誓う
623,plead,嘆願する; 申し立てる
624,oral,口頭の、口述の；口の
625,confess,～を告白する
626,colloquial,口語の
627,swear,～を誓う；～だと断言する
628,slang,俗語
629,roar,吠える、わめく；とどろく、鳴り響く；大笑いする
630,dialog,対話、会話
631,dialect,方言、地方語
632,chuckle,くすくす笑う
633,assert,～を断言する；（～である）と主張する；～を行使する
634,thrust,～を突き刺す；～を押し付ける；～を突き出す
635,bondage,（行動の自由の）束縛；捕らわれの身
636,scope,範囲；余地、自由
637,dictate,（文書など）を［...に］書きとらせる；～を命令する
638,yell,大声を出す、叫ぶ；エールを送る
639,render,～を（...に）する；（...に）～を与える；～を表現する
640,testify,～を証言する
641,recite,～を（聴衆の前で）朗読する、～を暗唱する；～を詳細に話す
642,verse,韻文；詩（の一行）；聖書の節（章を細分化した単位）
643,premise,前提、仮定
644,preface,序文；前置き
645,eloquent,雄弁な、説得力のある
646,locate,～の所在地を見つける；～の場所を定める
647,mingle,～を混ぜる
648,outer,外の～；客観的な
649,penetrate,～を貫く；～にしみ込む、広がる；～を見抜く、理解する；～に入り込む
650,underlie,～の下にある；～の基礎となる、～の背後にある
651,sore,痛い；悲しんだ、怒った
652,plunge,～を突っ込む；～を（・・・に）追い込む、陥れる
653,yearn,あこがれる；切望する；同情する
654,lament,～を嘆き悲しむ
655,depress,～を落胆させる；～を押し下げる；～を憂鬱にさせる
